,1m,3m,15m,time
712,,,,1900-01-01 13:08:52
713,,,,1900-01-01 13:08:53
714,,,,1900-01-01 13:08:54
715,,,,1900-01-01 13:08:55
716,,,,1900-01-01 13:08:56
717,,,,1900-01-01 13:08:57
718,,,,1900-01-01 13:08:58
719,,,,1900-01-01 13:08:59
720,,,,1900-01-01 13:09:00
721,,,,1900-01-01 13:09:01
722,,,,1900-01-01 13:09:02
723,,,,1900-01-01 13:09:03
724,,,,1900-01-01 13:09:04
725,,,,1900-01-01 13:09:05
726,,,,1900-01-01 13:09:06
727,,,,1900-01-01 13:09:07
728,,,,1900-01-01 13:09:08
729,,,,1900-01-01 13:09:09
730,,,,1900-01-01 13:09:10
731,,,,1900-01-01 13:09:11
732,,,,1900-01-01 13:09:12
733,,,,1900-01-01 13:09:13
734,,,,1900-01-01 13:09:14
735,,,,1900-01-01 13:09:15
736,,,,1900-01-01 13:09:16
737,,,,1900-01-01 13:09:17
738,,,,1900-01-01 13:09:18
739,,,,1900-01-01 13:09:19
740,,,,1900-01-01 13:09:20
741,,,,1900-01-01 13:09:21
742,,,,1900-01-01 13:09:22
743,,,,1900-01-01 13:09:23
744,,,,1900-01-01 13:09:24
745,,,,1900-01-01 13:09:25
746,,,,1900-01-01 13:09:26
747,,,,1900-01-01 13:09:27
748,,,,1900-01-01 13:09:28
749,,,,1900-01-01 13:09:29
750,,,,1900-01-01 13:09:30
751,,,,1900-01-01 13:09:31
752,,,,1900-01-01 13:09:32
753,,,,1900-01-01 13:09:33
754,,,,1900-01-01 13:09:34
755,,,,1900-01-01 13:09:35
756,,,,1900-01-01 13:09:36
757,,,,1900-01-01 13:09:37
758,,,,1900-01-01 13:09:38
759,,,,1900-01-01 13:09:39
760,,,,1900-01-01 13:09:40
761,,,,1900-01-01 13:09:41
762,,,,1900-01-01 13:09:42
763,,,,1900-01-01 13:09:43
764,,,,1900-01-01 13:09:44
765,,,,1900-01-01 13:09:45
766,,,,1900-01-01 13:09:46
767,,,,1900-01-01 13:09:47
768,,,,1900-01-01 13:09:48
769,,,,1900-01-01 13:09:49
770,,,,1900-01-01 13:09:50
771,,,,1900-01-01 13:09:51
772,,,,1900-01-01 13:09:52
